Saccharomyces cerevisiae,Rhodosporidium toruloides,CS,EL,Trees,phylome,ensembl,orthomcl,treefam,eggnog,hogenom
YKR085C,RHTO_04100,1,1,2,1.00/2,,,,,
YOL102C,RHTO_02292,1,2,3,1.00/2,,,,,
YDR320C-A,RHTO_06895,1,1,2,1.00/2,,,,,
YGR209C,RHTO_03771,1,1,2,1.00/2,,,,,
YAR042W,RHTO_06360,1,2,3,1.00/2,,,,,
YDR258C,RHTO_07803,1,2,5,1.00/4,,,,,
YOR130C,RHTO_06343,1,2,5,1.00/4,,,,,
YJR010W,RHTO_04408,1,2,3,1.00/2,,,,,
YDL022W,RHTO_02273,1,2,5,1.00/4,,,,,
YNR032C-A,RHTO_02599,1,1,1,,,,,,
YIL094C,RHTO_04315,1,1,2,1.00/2,,,,,
YJL039C,RHTO_04502,1,2,3,1.00/2,,,,,
YPL141C,RHTO_03632,1,2,3,1.00/2,,,,,
YPR175W,RHTO_04040,1,2,3,1.00/2,,,,,
YDR160W,RHTO_01344,0.5,1,4,0.50/4,,,,,
YDR211W,RHTO_00506,1,2,3,1.00/2,,,,,
YGR116W,RHTO_04388,1,2,3,1.00/2,,,,,
YKL138C,RHTO_02762,1,2,3,1.00/2,,,,,
YFL039C,RHTO_03560,1,2,17,1.00/16,,,,,
YFL042C,RHTO_00215,0.667,2,3,0.50/2,,,,,
YDR116C,RHTO_03468,1,2,3,1.00/2,,,,,
YGR192C,RHTO0S_19e00408g,1,1,2,1.00/2,,,,,
YJL154C,RHTO_03369,1,2,3,1.00/2,,,,,
YBR052C,RHTO_07025,0.667,1,3,1.00/2,,,,,
YLR147C,RHTO_01694,1,2,3,1.00/2,,,,,
YGL120C,RHTO_01637,1,1,12,1.00/12,,,,,
YOR296W,RHTO_03634,0.667,1,3,1.00/2,,,,,
YPR168W,RHTO_05774,1,1,2,1.00/2,,,,,
YBR021W,RHTO_01705,1,1,2,1.00/2,,,,,
YLR460C,RHTO_03470,1,1,4,1.00/4,,,,,
YLL062C,RHTO_00071,0.667,1,3,1.00/2,,,,,
YBL099W,RHTO_05648,0.571,1,7,0.67/6,,,,,
YAL032C,RHTO_03901,1,2,3,1.00/2,,,,,
YPL280W,RHTO_04781,1,1,2,1.00/2,,,,,
YOR182C,RHTO_03081,1,2,4,1.00/2,1.00/2,,,,
YPR019W,RHTO_01781,1,2,13,1.00/12,,,,,
YLR449W,RHTO_06642,1,2,3,1.00/2,,,,,
