rxnID	rxnName	rxnEqn	A120	A100	A80	A60	G120	G100	G80	G60	X120	X100	X80	X60
r_0015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine[c] + H+[c] + NADPH[c] => 2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + NADP(+)[c]	-0.000008	-0.000060	-0.000083	-0.000099	-0.000030	-0.000157	-0.000172	-0.000226	-0.000001	-0.000007	-0.000052	-0.000087
r_0019	2-dehydropantoate 2-reductase	2-dehydropantoate[c] + H+[c] + NADPH[c] => (R)-pantoate[c] + NADP(+)[c]	-0.000017	-0.000171	-0.000200	-0.000245	-0.000061	-0.000754	-0.000563	-0.001772	-0.000001	-0.000020	-0.000161	-0.000437
r_0080	5,10-methylenetetrahydrofolate reductase (NADPH)	5,10-methylenetetrahydrofolate[c] + 2 H+[c] + NADPH[c] => 5-methyltetrahydrofolate[c] + NADP(+)[c]	-0.001511	-0.010105	-0.014372	-0.014264	-0.005399	-0.039619	-0.032559	-0.063084	-0.000153	-0.001504	-0.010086	-0.016459
r_0096	acetohydroxy acid isomeroreductase	2-acetyllactic acid[m] + H+[m] + NADPH[m] => (R)-2,3-dihydroxy-3-methylbutanoate[m] + NADP(+)[m]	-0.002855	-0.024743	-0.037271	-0.042867	-0.011830	-0.087189	-0.094495	-0.199121	-0.000220	-0.003907	-0.028097	-0.044358
r_0168	aldehyde dehydrogenase (2-methylbutanol, NADP)	2-methylbutanal[c] + H+[c] + NADPH[c] => 2-methylbutanol[c] + NADP(+)[c]	-0.000001	-0.000030	-0.000015	-0.000035	-0.000022	-0.000291	-0.000186	-0.000582	-0.000001	-0.000003	-0.000057	-0.000059
r_0173	aldehyde dehydrogenase (acetaldehyde, NADP)	acetaldehyde[c] + H2O[c] + NADP(+)[c] => acetate[c] + 2 H+[c] + NADPH[c]	0.000080	0.000285	0.000565	0.000274	0.000508	0.001554	0.000850	0.002468	0.000139	0.000846	0.003378	0.003825
r_0175	aldehyde dehydrogenase (acetylaldehyde, NADP)	acetaldehyde[m] + H2O[m] + NADP(+)[m] => acetate[m] + 2 H+[m] + NADPH[m]	0.000014	0.000094	0.000258	0.000266	0.000020	0.000482	0.000288	0.000533	0.000002	0.000035	0.000092	0.000314
r_0181	aldehyde dehydrogenase (isoamyl alcohol, NADP)	3-methylbutanal[c] + H+[c] + NADPH[c] => isoamylol[c] + NADP(+)[c]	-0.000002	-0.000074	-0.000012	-0.000027	-0.000026	-0.000235	-0.000070	-0.000319	-0.000001	-0.000010	-0.000067	-0.000040
r_0184	aldehyde dehydrogenase (isobutyl alcohol, NADP)	H+[c] + isobutyraldehyde[c] + NADPH[c] => isobutanol[c] + NADP(+)[c]	-0.000003	-0.000045	-0.000045	-0.000020	-0.000058	-0.000404	-0.000200	-0.001073	-0.000001	-0.000012	-0.000059	-0.000052
r_0219	aspartate-semialdehyde dehydrogenase	4-phospho-L-aspartate[c] + H+[c] + NADPH[c] => L-aspartate 4-semialdehyde[c] + NADP(+)[c] + phosphate[c]	-0.002073	-0.017129	-0.026570	-0.030726	-0.010449	-0.063412	-0.074784	-0.146964	-0.000143	-0.002644	-0.027234	-0.041515
r_0231	C-14 sterol reductase	4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol[c] + H+[c] + NADPH[c] => 14-demethyllanosterol[c] + NADP(+)[c]	-0.000574	-0.003454	-0.004516	-0.003822	-0.001901	-0.011701	-0.009655	-0.011989	-0.000067	-0.000487	-0.003135	-0.004274
