rxnID	reactionName	mean_A120	mean_A100	mean_A80	mean_A60	mean_G120	mean_G100	mean_G80	mean_G60	mean_X120	mean_X100	mean_X80	mean_X60	std_A120	std_A100	std_A80	std_A60	std_G120	std_G100	std_G80	std_G60	std_X120	std_X100	std_X80	std_X60
r_0001	(R)-lactate:ferricytochrome-c 2-oxidoreductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_0002	(R)-lactate:ferricytochrome-c 2-oxidoreductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_0003	(R,R)-butanediol dehydrogenase	-1.121952e-05	-1.680133e-04	-1.913975e-04	-1.710614e-04	-1.087044e-04	-1.970942e-03	-5.480582e-04	-3.546084e-03	-4.766348e-06	-3.796189e-05	-3.223502e-04	-2.736178e-04	2.428060e-04	3.738618e-03	3.326702e-03	3.040783e-03	1.897658e-03	2.064120e-02	1.106207e-02	3.947187e-02	5.090016e-05	4.571121e-04	5.885075e-03	6.181049e-03
r_0004	(S)-lactate:ferricytochrome-c 2-oxidoreductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_0005	1,3-beta-glucan synthase	2.646853e-03	3.710008e-02	4.822475e-02	7.896261e-02	1.763291e-02	3.842848e-02	8.143810e-02	3.803782e-02	2.906137e-04	1.133120e-03	1.992878e-02	5.016521e-02	3.164163e-05	4.675589e-04	5.921485e-04	9.724027e-04	2.089257e-04	4.979114e-04	9.921070e-04	4.779208e-04	3.476965e-06	1.315497e-05	2.497359e-04	6.213434e-04
r_0006	1,6-beta-glucan synthase	8.841077e-04	1.239225e-02	1.610814e-02	2.637527e-02	5.889783e-03	1.283597e-02	2.720214e-02	1.270548e-02	9.707143e-05	3.784872e-04	6.656658e-03	1.675630e-02	1.056901e-05	1.561751e-04	1.977908e-04	3.248042e-04	6.978584e-05	1.663135e-04	3.313858e-04	1.596362e-04	1.161384e-06	4.394053e-06	8.341734e-05	2.075425e-04
r_0007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	3.906527e-04	3.146479e-03	5.112580e-03	5.938620e-03	1.570283e-03	1.138880e-02	1.269776e-02	2.592315e-02	2.495761e-05	4.982898e-04	3.670703e-03	5.872992e-03	4.256958e-05	2.991910e-04	4.976562e-04	5.281483e-04	1.603552e-04	6.367905e-03	1.513499e-03	2.074051e-02	3.509772e-06	5.329560e-05	3.880452e-04	9.658990e-04
r_0012	1-pyrroline-5-carboxylate dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_0013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	1.074529e-05	9.690971e-05	1.911643e-04	1.324528e-04	5.651102e-05	7.143098e-04	3.904586e-04	1.331997e-03	1.055884e-06	1.504909e-05	8.138195e-05	3.400119e-04	1.239644e-04	1.059698e-03	1.812839e-03	1.587025e-03	5.647201e-04	7.037464e-03	4.123021e-03	1.447775e-02	1.017439e-05	1.568201e-04	1.005884e-03	3.442528e-03
r_0014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	7.569519e-06	6.004528e-05	8.327462e-05	9.854339e-05	3.001045e-05	1.569256e-04	1.723479e-04	2.256484e-04	7.745032e-07	6.775714e-06	5.219865e-05	8.715184e-05	9.048933e-08	7.567289e-07	1.022524e-06	1.213535e-06	3.555826e-07	2.033259e-06	2.099602e-06	2.835127e-06	9.266327e-09	7.866277e-08	6.541229e-07	1.079458e-06
r_0015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	7.569519e-06	6.004528e-05	8.327462e-05	9.854339e-05	3.001045e-05	1.569256e-04	1.723479e-04	2.256484e-04	7.745032e-07	6.775714e-06	5.219865e-05	8.715184e-05	9.048933e-08	7.567289e-07	1.022524e-06	1.213535e-06	3.555826e-07	2.033259e-06	2.099602e-06	2.835127e-06	9.266327e-09	7.866277e-08	6.541229e-07	1.079458e-06
r_0016	2-aceto-2-hydroxybutanoate synthase	6.769709e-04	6.035142e-03	8.783046e-03	1.004932e-02	2.846447e-03	2.068179e-02	2.249461e-02	4.581971e-02	5.125633e-05	8.933999e-04	6.934429e-03	1.101194e-02	4.562260e-04	7.562760e-03	5.080148e-03	4.532145e-03	2.984768e-03	2.508009e-02	1.923748e-02	5.573860e-02	7.632913e-05	6.724593e-04	9.673727e-03	1.350140e-02
r_0017	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_0018	2-aminoadipate transaminase	7.720932e-04	6.233183e-03	1.009162e-02	1.175186e-02	3.106693e-03	2.206108e-02	2.497120e-02	5.023706e-02	4.912127e-05	9.830492e-04	7.244861e-03	1.158377e-02	5.091775e-05	4.164029e-04	3.828873e-04	6.139652e-04	2.027387e-04	7.338098e-03	1.082034e-03	2.995424e-02	3.504127e-06	5.028312e-05	3.844471e-04	1.156513e-03
r_0019	2-dehydropantoate 2-reductase	1.556815e-05	1.341642e-04	2.477601e-04	1.918583e-04	8.071054e-05	1.226290e-03	5.145580e-04	2.215514e-03	1.464377e-06	2.118405e-05	1.387856e-04	5.269961e-04	1.549169e-04	1.284134e-03	2.184123e-03	2.051770e-03	7.033333e-04	1.411775e-02	4.881903e-03	2.887664e-02	1.276101e-05	1.972928e-04	1.369432e-03	4.376547e-03
r_0020	2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_0021	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
