reaction	Acetate	Glycerol	Xylose	Xylose (no PK-PTA)
(R)-lactate:ferricytochrome-c 2-oxidoreductase	0	0	0	0
(R)-lactate:ferricytochrome-c 2-oxidoreductase	0	0	0	0
(R,R)-butanediol dehydrogenase	0	0	0	0
(S)-lactate:ferricytochrome-c 2-oxidoreductase	0	0	0	0
1,3-beta-glucan synthase	0	0	0	0
1,6-beta-glucan synthase	0	0	0	0
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	0	0	0	0
1-pyrroline-5-carboxylate dehydrogenase	0	0	0	0
2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	0	0	0	0
2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	0	0	0	0
2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	0	0	0	0
2-aceto-2-hydroxybutanoate synthase	0	0	0	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	0	0	0	0
2-aminoadipate transaminase	0	0	0	0
2-dehydropantoate 2-reductase	0	0	0	0
2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0	0	0	0
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	0	0	0	0
2-hexaprenyl-6-methoxyphenol monooxygenase	0	0	0	0
2-isopropylmalate hydratase	0	0	0	0
2-isopropylmalate synthase	0	0	0	0
2-isopropylmalate synthase	0	0	0	0
2-keto-4-methylthiobutyrate transamination	0	0	0	0
2-methylcitrate dehydratase	0	0	0	0
2-methylcitrate synthase	0	0	0	0
2-oxo-4-methyl-3-carboxypentanoate decarboxylation	0	0	0	0
2-oxo-4-methyl-3-carboxypentanoate decarboxylation	0	0	0	0
3',5'-bisphosphate nucleotidase	0	0	0	0
3',5'-cyclic-nucleotide phosphodiesterase	0	0	0	0
3',5'-cyclic-nucleotide phosphodiesterase	0	0	0	0
3',5'-cyclic-nucleotide phosphodiesterase	0	0	0	0
3',5'-cyclic-nucleotide phosphodiesterase	0	0	0	0
3',5'-cyclic-nucleotide phosphodiesterase	0	0	0	0
3,4-dihydroxy-2-butanone-4-phosphate synthase	0	0	0	0
3-dehydroquinate dehydratase	0	0	0	0
3-dehydroquinate synthase	0	0	0	0
3-dehydrosphinganine reductase	0	0	0	0
3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0	0	0	0
3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase	0	0	0	0
3-hydroxy-L-kynurenine hydrolase	0	0	0	0
3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	0	0	0	0
3-hydroxyanthranilate 3,4-dioxygenase	0	0	0	0
3-isopropylmalate 3-methyltransferase	0	0	0	0
3-isopropylmalate dehydratase	0	0	0	0
3-isopropylmalate dehydrogenase	0	0	0	0
3-methyl-2-oxobutanoate decarboxylase	0	0	0	0
3-methyl-2-oxobutanoate hydroxymethyltransferase	0	0	0	0
3-methyl-2-oxopentanoate decarboxylase	0	0	0	0
3-phosphoshikimate 1-carboxyvinyltransferase	0	0	0	0
4-amino-4-deoxychorismate synthase	0	0	0	0
4-aminobenzoate synthase	0	0	0	0
4-aminobutyrate transaminase	8.969348e-06	0	0	0
4-hydroxy-L-threonine synthase	0	0	0	0
4-methyl-2-oxopentanoate decarboxylase	0	0	0	0
4PP-IP5 depyrophosphorylation to IP6	0	0	0	0
5'-methylthioadenosine phosphorylase	0	0	0	0
5'-nucleotidase (CMP)	0	0	0	0
5'-nucleotidase (UMP)	0	0	0	0
5'-phosphoribosylformyl glycinamidine synthetase	0	0	0	0
5,10-methylenetetrahydrofolate reductase (NADPH)	2.223099e-03	3.074120e-03	2.736845e-03	2.628259e-03
5-aminolevulinate synthase	0	0	0	0
5-formethyltetrahydrofolate cyclo-ligase	0	0	0	0
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	0	0	0	0
5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase	0	0	0	0
5-methylthioribose-1-phosphate isomerase	0	0	0	0
5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4	0	0	0	0
5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4	0	0	0	0
6-phosphofructo-2-kinase	0	0	0	0
6-phosphogluconolactonase	1.373347e-01	1.273104e-01	3.620352e-01	1.143172e-01
6PP-IP5 depyrophosphorylation to IP6	0	0	0	0
acetaldehyde condensation	0	0	0	0
acetohydroxy acid isomeroreductase	0	0	0	0
acetolactate synthase	0	0	0	0
acetyl-CoA ACP transacylase	0	0	0	0
acetyl-CoA C-acyltransferase (palmitoyl-CoA)	0	0	0	0
acetyl-CoA C-acyltransferase (tetracosanoyl-CoA)	0	0	0	0
acetyl-CoA C-acyltransferase (myristoyl-CoA)	0	0	0	0
acetyl-CoA C-acetyltransferase	7.249261e-03	0	4.551639e-03	0
acetyl-CoA C-acetyltransferase	0	1.002434e-02	4.372885e-03	8.570438e-03
acetyl-CoA C-acyltransferase (lauroyl-CoA)	0	0	0	0
acetyl-CoA C-acyltransferase (octanoyl-CoA)	0	0	0	0
acetyl-CoA C-acyltransferase (decanoyl-CoA)	0	0	0	0
acetyl-Coa carboxylase	0	0	0	0
acetyl-CoA carboxylase, reaction	1.949078e-01	2.695201e-01	2.399499e-01	2.304297e-01
acetyl-CoA hydrolase	0	0	0	0
acetyl-CoA synthetase	5.000000e-01	1.382510e-01	0	2.599165e-01
acetyl-CoA synthetase	0	0	0	0
acetyl-CoA synthetase nuclear	0	0	0	0
acetylglutamate kinase	0	0	0	0
acid phosphatase (secreted)	0	0	0	0
aconitase	0	0	0	0
acteylornithine transaminase	0	0	0	0
acyl-CoA oxidase (decanoyl-CoA)	0	0	0	0
acyl-CoA oxidase (dodecanoyl-CoA)	0	0	0	0
acyl-CoA oxidase (hexacosanoyl-CoA)	0	0	0	0
acyl-CoA oxidase (hexadecanoyl-CoA)	0	0	0	0
acyl-CoA oxidase (octadecanoyl-CoA)	0	0	0	0
acyl-CoA oxidase (tetradecanoyl-CoA)	0	0	0	0
acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane	0	0	0	0
acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane	0	0	0	0
acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane	0	0	0	0
acyl-CoA:sterol acyltransferase (oleoyl-CoA:lanosterol), ER membrane	0	0	0	0
acyl-CoA:sterol acyltransferase (oleoyl-CoA:zymosterol), ER membrane	0	0	0	0
acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane	0	0	0	0
acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane	0	0	0	0
acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane	0	0	0	0
acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane	0	0	0	0
acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane	0	0	0	0
acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3	0	0	0	0
adenine deaminase	0	0	0	0
adenine phosphoribosyltransferase	0	0	0	0
adenosine deaminase	0	0	0	0
adenosine kinase	2.223099e-03	3.074120e-03	2.736845e-03	2.628259e-03
adenosine monophosphate deaminase	0	0	0	0
adenosylhomocysteinase	2.223099e-03	3.074120e-03	2.736845e-03	2.628259e-03
adenosylmethionine decarboxylase	0	0	0	0
adenosylmethionine-8-amino-7-oxononanoate transaminase	0	0	0	0
adenylate cyclase	0	0	0	0
adenylate kinase	5.082106e-01	1.496047e-01	1.010804e-02	2.696235e-01
adenylate kinase	0	0	0	0
adenylate kinase (GTP)	0	0	0	0
adenylosuccinate lyase (AICAR)	0	0	0	0
adenylosuccinate lyase	0	0	0	0
adenylosuccinate synthase	0	0	0	0
adenylyl-sulfate kinase	0	0	0	0
alanine glyoxylate aminotransferase	0	0	0	0
alanyl-tRNA synthetase	0	0	0	0
alcohol dehydrogenase (ethanol to acetaldehyde)	2.062841e-02	0	0	0
alcohol dehydrogenase (glycerol, NADP)	0	0	0	0
mitochondrial alcohol dehydrogenase	2.062841e-02	0	0	0
aldehyde dehydrogenase (2-methylbutanol, NAD)	0	0	0	0
aldehyde dehydrogenase (2-methylbutanol, NAD)	0	0	0	0
aldehyde dehydrogenase (2-methylbutanol, NADP)	0	0	0	0
aldehyde dehydrogenase (2-phenylethanol, NAD)	0	0	0	0
aldehyde dehydrogenase (2-phenylethanol, NAD)	0	0	0	0
aldehyde dehydrogenase (2-phenylethanol, NADP)	0	0	0	0
aldehyde dehydrogenase (3-aminopropanal, NAD)	0	0	0	0
aldehyde dehydrogenase (acetaldehyde, NADP)	0	0	0	2.599165e-01
aldehyde dehydrogenase (acetylaldehyde, NAD)	0	0	0	0
aldehyde dehydrogenase (acetylaldehyde, NADP)	0	0	0	0
aldehyde dehydrogenase (indole-3-acetaldehyde, NAD)	0	0	0	0
aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)	0	0	0	0
aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)	0	0	0	0
aldehyde dehydrogenase (isoamyl alcohol, NAD)	0	0	0	0
aldehyde dehydrogenase (isoamyl alcohol, NAD)	0	0	0	0
aldehyde dehydrogenase (isoamyl alcohol, NADP)	0	0	0	0
aldehyde dehydrogenase (isobutyl alcohol, NAD)	0	0	0	0
aldehyde dehydrogenase (isobutyl alcohol, NAD)	0	0	0	0
aldehyde dehydrogenase (isobutyl alcohol, NADP)	0	0	0	0
aldehyde dehydrogenase (phenylacetaldehyde, NAD)	0	0	0	0
aldehyde dehydrogenase (tryptophol, NAD)	0	0	0	0
aldehyde dehydrogenase (tryptophol, NAD)	0	0	0	0
alkaline phosphatase (dihydroneopterin)	0	0	0	0
allantoate amidinohydrolase	0	0	0	0
allantoinase, reaction	0	0	0	0
allophanate hydrolase	0	0	0	0
alpha 1,2-mannosyltransferase	0	0	0	0
alpha,alpha-trehalase	0	0	0	0
alpha,alpha-trehalase	0	0	0	0
alpha,alpha-trehalose-phosphate synthase (UDP-forming)	0	0	0	0
alpha-glucosidase	0	0	0	0
amidase	0	0	0	0
Aminobutyraldehyde dehydrogenase	0	0	0	0
anthranilate phosphoribosyltransferase	0	0	0	0
anthranilate synthase	0	0	0	0
Ap4A hydrolase	0	0	0	0
arabinose reductase	0	0	0	0
arginase	0	0	0	0
argininosuccinate lyase	0	0	0	0
argininosuccinate synthase	0	0	0	0
arginyl-tRNA synthetase	0	0	0	0
arginyl-tRNA synthetase	0	0	0	0
asparagine synthase (glutamine-hydrolysing)	0	0	0	0
Asparaginyl-tRNA synthetase	0	0	0	0
asparaginyl-tRNA synthetase, miotchondrial	0	0	0	0
aspartate carbamoyltransferase	0	0	0	0
aspartate kinase	0	0	0	0
aspartate transaminase	0	2.625039e-01	1.707874e-01	2.302443e-01
aspartate transaminase	0	2.625039e-01	1.707874e-01	2.302443e-01
aspartate transaminase	0	0	0	0
aspartate-semialdehyde dehydrogenase	0	0	0	0
Aspartyl-tRNA synthetase	0	0	0	0
ATP adenylyltransferase	0	0	0	0
ATP phosphoribosyltransferase	0	0	0	0
ATP synthase	1.200064e+00	8.159583e-01	4.856659e-01	7.578323e-01
ATPase, cytosolic	0	2.118234e-01	1.490433e-02	1.431299e-02
beta-1,4 mannosyltransferase	0	0	0	0
biotin synthase	0	0	0	0
biotin-[acetyl-CoA-carboxylase] ligase	0	0	0	0
C-14 sterol reductase	1.208210e-03	1.670723e-03	1.487421e-03	1.428406e-03
C-22 sterol desaturase (NADP)	1.208210e-03	1.670723e-03	1.487421e-03	1.428406e-03
C-3 sterol dehydrogenase	1.208210e-03	1.670723e-03	1.487421e-03	1.428406e-03
C-3 sterol dehydrogenase (4-methylzymosterol)	1.208210e-03	1.670723e-03	1.487421e-03	1.428406e-03
C-3 sterol keto reductase (4-methylzymosterol)	1.208210e-03	1.670723e-03	1.487421e-03	1.428406e-03
C-3 sterol keto reductase (zymosterol)	1.208210e-03	1.670723e-03	1.487421e-03	1.428406e-03
C-4 methyl sterol oxidase	1.208210e-03	1.670723e-03	1.487421e-03	1.428406e-03
C-4 methyl sterol oxidase	1.208210e-03	1.670723e-03	1.487421e-03	1.428406e-03
