rxnID	rxnName	rxnEqn	A120	A100	A80	A60	G120	G100	G80	G60	X120	X100	X80	X60
r_0003	(R,R)-butanediol dehydrogenase	(R,R)-2,3-butanediol[c] + NAD[c] <=> (R)-acetoin[c] + H+[c] + NADH[c]	-0.000011	-0.000168	-0.000191	-0.000171	-0.000109	-0.001971	-0.000548	-0.003546	-0.000005	-0.000038	-0.000322	-0.000274
r_0057	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	(S)-3-hydroxytetradecanoyl-CoA[p] + NAD[p] => 3-oxotetradecanoyl-CoA[p] + H+[p] + NADH[p]	0.000072	0.000869	0.001153	0.000814	0.000642	0.001125	0.002557	0.003469	0.000013	0.000131	0.001902	0.002190
r_0061	3-isopropylmalate dehydrogenase	(2R,3S)-3-isopropylmalate[c] + NAD[c] => (2S)-2-isopropyl-3-oxosuccinate[c] + H+[c] + NADH[c]	0.001662	0.013788	0.021863	0.025421	0.006719	0.048691	0.054427	0.108952	0.000123	0.002246	0.016048	0.025349
r_0163	alcohol dehydrogenase (ethanol to acetaldehyde)	ethanol[c] + NAD[c] => acetaldehyde[c] + H+[c] + NADH[c]	0.001733	0.013117	0.014475	0.011952	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0165	mitochondrial alcohol dehydrogenase	acetaldehyde[m] + H+[m] + NADH[m] => ethanol[m] + NAD[m]	-0.001734	-0.013118	-0.014477	-0.011958	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
r_0166	aldehyde dehydrogenase (2-methylbutanol, NAD)	2-methylbutanal[c] + H+[c] + NADH[c] => 2-methylbutanol[c] + NAD[c]	-0.000004	-0.000081	-0.000047	-0.000064	-0.000056	-0.000339	-0.000125	-0.000293	-0.000001	-0.000010	-0.000043	-0.000149
r_0167	aldehyde dehydrogenase (2-methylbutanol, NAD)	2-methylbutanal[m] + H+[m] + NADH[m] => 2-methylbutanol[m] + NAD[m]	-0.000005	-0.000141	-0.000084	-0.000051	-0.000032	-0.000342	-0.000167	-0.000439	-0.000001	-0.000015	-0.000050	-0.000203
r_0172	aldehyde dehydrogenase (3-aminopropanal, NAD)	3-aminopropanal[c] + H2O[c] + NAD[c] => beta-alanine[c] + 2 H+[c] + NADH[c]	0.000009	0.000087	0.000153	0.000100	0.000048	0.000149	0.000346	0.000219	0.000001	0.000012	0.000069	0.000307
r_0174	aldehyde dehydrogenase (acetylaldehyde, NAD)	acetaldehyde[m] + H2O[m] + NAD[m] => acetate[m] + 2 H+[m] + NADH[m]	0.000188	0.000824	0.002173	0.001105	0.000526	0.000264	0.000295	0.000484	0.000022	0.000195	0.000716	0.000901
r_0179	aldehyde dehydrogenase (isoamyl alcohol, NAD)	3-methylbutanal[c] + H+[c] + NADH[c] => isoamylol[c] + NAD[c]	-0.000006	-0.000263	-0.000078	-0.000054	-0.000020	-0.000319	-0.000153	-0.000493	-0.000002	-0.000009	-0.000144	-0.000168
