,growth,acetate,glycerol,xylose,co2,o2,xylitol,ammonium,protExch,lipidsRatio,proteinRatio
A120,0.009,0.512667333,,,0.258,-2.446423378,,0.011897343,0.000125786,0.534,0.233423761
A100,0.062,3.172305443,,,4.243,-2.290039723,,0.102895526,0.000980834,0.4,0.238080093
A80,0.086,4.343820155,,,5.749,-4.576271055,,0.189400418,0.001593176,0.378,0.278774698
A60,0.114,4.020461624,,,5.12,-3.811746902,,0.241149653,0.001480052,0.272,0.277617088
G120,0.031,,1.003375652,,0.8077,-4.03836813,,0.051908645,0.001227674,0.439,0.213697615
G100,0.162,,5.226696569,,2.3119,-3.572956103,,0.419473453,0.006777971,0.523,0.294960672
G80,0.178,,6.285164983,,1.8693,-5.437861108,,0.464773989,0.006607892,0.39,0.31817701
G60,0.233,,13.2747394,,3.0004,-9.819610125,,1.304989817,0.007254707,0.366,0.488763919
X120,0.0008,,,0.017240889,0.103,-2.163,0.001395384,0.000733333,0,0.6,0.1551
X100,0.007,,,0.164335802,0.615,-2.321,0.01669892,0.008555556,3.367E-09,0.5,0.355409519
X80,0.0539,,,2.594055279,2.488,-10.343,0.687846423,0.18528125,2.16139E-08,0.412,0.339935599
X60,0.09,,,3.453142849,3.088,-9.067,1.109348557,0.452844198,0,0.334,0.324461679
