reaction	acetate	glycerol	xylose	xylose (no PK-PTA)
acetate exchange	-5.000000e-01	0	0	0
ammonium exchange	-1.563747e-03	-2.070774e-03	-1.773043e-03	-1.702073e-03
carbon dioxide exchange	4.583562e-01	2.827342e-01	3.858604e-01	4.104416e-01
D-xylose exchange	0	0	-2.000000e-01	-2.000000e-01
glycerol exchange	0	-3.333333e-01	0	0
H+ exchange	-4.886242e-01	-3.357500e-01	-2.069186e-03	-1.986363e-03
oxygen exchange	-2.450198e-01	-1.668926e-01	-1.439709e-01	-1.782349e-01
phosphate exchange	-1.824932e-03	-2.416646e-03	-2.069186e-03	-1.986363e-03
water exchange	5.125436e-01	1.038639e+00	4.622666e-01	4.837876e-01
lipid backbone exchange	6.581196e-02	8.715075e-02	7.462042e-02	7.163359e-02
lipid chain exchange	6.567092e-02	8.696398e-02	7.446022e-02	7.147932e-02
