reaction	reactionName	A120	A100	A80	A60	G120	G100	G80	G60	X120	X100	X80	X60
r_0001	(R)-lactate:ferricytochrome-c 2-oxidoreductase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0002	(R)-lactate:ferricytochrome-c 2-oxidoreductase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0003	(R,R)-butanediol dehydrogenase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0004	(S)-lactate:ferricytochrome-c 2-oxidoreductase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0005	1,3-beta-glucan synthase	0.002865	0.037948	0.049338	0.084994	0.018044	0.039336	0.083336	0.038973	0.000297	0.001162	0.020393	0.051321
r_0006	1,6-beta-glucan synthase	0.000957	0.012676	0.016480	0.028390	0.006027	0.013139	0.027836	0.013018	0.000099	0.000388	0.006812	0.017142
r_0007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	0.000340	0.002607	0.004234	0.005168	0.001300	0.009034	0.010472	0.020058	0.000021	0.000412	0.003034	0.004835
r_0012	1-pyrroline-5-carboxylate dehydrogenase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	0.000008	0.000061	0.000085	0.000106	0.000031	0.000160	0.000176	0.000231	0.000001	0.000007	0.000053	0.000089
r_0015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	0.000008	0.000061	0.000085	0.000106	0.000031	0.000160	0.000176	0.000231	0.000001	0.000007	0.000053	0.000089
r_0016	2-aceto-2-hydroxybutanoate synthase	0.000989	0.007574	0.012302	0.015017	0.003778	0.026253	0.030430	0.058287	0.000060	0.001197	0.008816	0.014051
r_0017	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0018	2-aminoadipate transaminase	0.001469	0.011252	0.018276	0.022309	0.005613	0.039001	0.045206	0.086589	0.000089	0.001778	0.013097	0.020873
r_0019	2-dehydropantoate 2-reductase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0020	2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0021	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0022	2-hexaprenyl-6-methoxyphenol monooxygenase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0023	2-isopropylmalate hydratase	-0.001521	-0.011652	-0.018925	-0.023101	-0.005812	-0.040386	-0.046812	-0.089664	-0.000092	-0.001842	-0.013562	-0.021615
r_0024	2-isopropylmalate synthase	0.001521	0.011652	0.018925	0.023101	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
