rxnID	rxnName	rxnEqn	A120	A100	A80	A60	G120	G100	G80	G60	X120	X100	X80	X60
r_0015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine[c] + H+[c] + NADPH[c] => 2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + NADP(+)[c]	-0.000532	-0.003990	-0.005534	-0.006891	-0.001995	-0.010425	-0.011454	-0.014994	-0.000051	-0.000450	-0.003468	-0.005792
r_0080	5,10-methylenetetrahydrofolate reductase (NADPH)	5,10-methylenetetrahydrofolate[c] + 2 H+[c] + NADPH[c] => 5-methyltetrahydrofolate[c] + NADP(+)[c]	-0.088978	-0.534350	-0.740997	-0.732218	-0.286761	-1.831967	-1.653461	-2.388433	-0.008857	-0.077602	-0.513233	-0.730910
r_0096	acetohydroxy acid isomeroreductase	2-acetyllactic acid[m] + H+[m] + NADPH[m] => (R)-2,3-dihydroxy-3-methylbutanoate[m] + NADP(+)[m]	-0.043193	-0.330789	-0.537266	-0.655830	-0.165003	-1.146524	-1.328958	-2.545492	-0.002607	-0.052279	-0.385019	-0.613623
r_0173	aldehyde dehydrogenase (acetaldehyde, NADP)	acetaldehyde[c] + H2O[c] + NADP(+)[c] => acetate[c] + 2 H+[c] + NADPH[c]	0.000000	0.000000	0.000000	0.000000	0.000000	33.061300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0219	aspartate-semialdehyde dehydrogenase	4-phospho-L-aspartate[c] + H+[c] + NADPH[c] => L-aspartate 4-semialdehyde[c] + NADP(+)[c] + phosphate[c]	-0.145039	-1.110770	-1.804111	-2.202241	-0.554073	-3.849967	-4.462571	-8.547629	-0.008755	-0.175549	-1.292873	-2.060515
r_0231	C-14 sterol reductase	4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol[c] + H+[c] + NADPH[c] => 14-demethyllanosterol[c] + NADP(+)[c]	-0.039929	-0.224313	-0.294031	-0.263464	-0.123092	-0.766336	-0.627895	-0.771329	-0.004342	-0.031657	-0.200858	-0.271889
r_0233	C-22 sterol desaturase (NADP)	ergosta-5,7,24(28)-trien-3beta-ol[c] + H+[c] + NADPH[c] + oxygen[c] => ergosta-5,7,22,24(28)-tetraen-3beta-ol[c] + 2 H2O[c] + NADP(+)[c]	-0.039929	-0.224313	-0.294031	-0.263464	-0.123092	-0.766336	-0.627895	-0.771329	-0.004342	-0.031657	-0.200858	-0.271889
r_0234	C-3 sterol dehydrogenase	NADP(+)[c] + zymosterol intermediate 1c[c] => carbon dioxide[c] + H+[c] + NADPH[c] + zymosterol intermediate 2[c]	0.039929	0.224313	0.294031	0.263464	0.123092	0.766336	0.627895	0.771329	0.004342	0.031657	0.200858	0.271889
r_0236	C-3 sterol keto reductase (4-methylzymosterol)	3-dehydro-4-methylzymosterol[c] + H+[c] + NADPH[c] => 4alpha-methylzymosterol[c] + NADP(+)[c]	-0.039929	-0.224313	-0.294031	-0.263464	-0.123092	-0.766336	-0.627895	-0.771329	-0.004342	-0.031657	-0.200858	-0.271889
r_0237	C-3 sterol keto reductase (zymosterol)	H+[c] + NADPH[c] + zymosterol intermediate 2[c] => NADP(+)[c] + zymosterol[c]	-0.039929	-0.224313	-0.294031	-0.263464	-0.123092	-0.766336	-0.627895	-0.771329	-0.004342	-0.031657	-0.200858	-0.271889
