rxnID	rxnName	rxnEqn	A120	A100	A80	A60	G120	G100	G80	G60	X120	X100	X80	X60
r_0061	3-isopropylmalate dehydrogenase	(2R,3S)-3-isopropylmalate[c] + NAD[c] => (2S)-2-isopropyl-3-oxosuccinate[c] + H+[c] + NADH[c]	0.104980	0.803985	1.305832	1.594002	0.401043	2.786640	3.230049	6.186849	0.006337	0.127064	0.935793	1.491419
r_0235	C-3 sterol dehydrogenase (4-methylzymosterol)	4beta-methylzymosterol-4alpha-carboxylic acid[c] + NAD[c] => 3-dehydro-4-methylzymosterol[c] + carbon dioxide[c] + H+[c] + NADH[c]	0.042386	0.238117	0.312125	0.279677	0.130667	0.813496	0.666535	0.818796	0.004609	0.033605	0.213218	0.288621
r_0445	formate dehydrogenase	formate[c] + NAD[c] => carbon dioxide[c] + NADH[c]	0.000000	0.250823	0.329749	0.301623	0.000000	0.000000	0.000000	0.000000	0.027843	0.497615	0.000000	0.000000
r_0486	glyceraldehyde-3-phosphate dehydrogenase	glyceraldehyde 3-phosphate[c] + NAD[c] + phosphate[c] <=> 1,3-bisphospho-D-glycerate[c] + H+[c] + NADH[c]	-4.250132	-23.866384	-26.087195	-53.795402	59.742597	332.034650	386.497551	880.349675	1.153265	11.615515	161.322823	180.270757
r_0491	glycerol-3-phosphate dehydrogenase (NAD)	dihydroxyacetone phosphate[c] + H+[c] + NADH[c] => glycerol 3-phosphate[c] + NAD[c]	-0.316743	-1.779396	-2.332444	-2.089965	0.000000	-6.079076	0.000000	0.000000	-0.034440	-0.251124	-1.593334	-2.156800
r_0501	glycine cleavage system	L-glycine[m] + NAD[m] + THF[m] => 5,10-methylenetetrahydrofolate[m] + ammonium[m] + carbon dioxide[m] + NADH[m]	0.000000	0.000000	0.000000	0.000000	0.000000	0.015534	0.000000	0.000000	0.009781	0.146987	0.000000	0.000000
r_0505	glycine-cleavage complex (lipoamide)	dihydrolipoamide[m] + NAD[m] => H+[m] + lipoamide[m] + NADH[m]	0.998074	42.535752	79.485657	30.640172	0.884989	0.000000	1.258053	0.000000	0.038533	1.090045	0.000018	0.000030
r_0530	heme O monooxygenase	heme o[m] + NADH[m] + oxygen[m] => H2O[m] + heme a[m] + NAD[m]	-0.000000	-0.000003	-0.000004	-0.000004	-0.000001	-0.000007	-0.000007	-0.000010	-0.000000	-0.000000	-0.000002	-0.000004
r_0536	histidinol dehydrogenase	H2O[c] + L-histidinol[c] + 2 NAD[c] => 3 H+[c] + L-histidine[c] + 2 NADH[c]	0.046968	0.359704	0.584231	0.713159	0.179427	1.246747	1.445129	2.768006	0.002835	0.056849	0.418675	0.667263
r_0545	homoisocitrate dehydrogenase	homoisocitrate[m] + NAD[m] => 2-oxoadipic acid[m] + carbon dioxide[m] + H+[m] + NADH[m]	0.060240	0.461343	0.749312	0.914670	0.230126	1.599029	1.853466	3.550137	0.003636	0.072912	0.536976	0.855806
r_0546	homoserine dehydrogenase (NADH)	H+[c] + L-aspartate 4-semialdehyde[c] + NADH[c] => L-homoserine[c] + NAD[c]	-0.153964	-1.179125	-1.915133	-2.337764	0.000000	-4.086888	0.000000	0.000000	-0.009294	-0.186352	-1.372434	-2.187316
r_0565	IMP dehydrogenase	H2O[c] + IMP[c] + NAD[c] => H+[c] + NADH[c] + xanthosine-5-phosphate[c]	0.025987	0.194893	0.270335	0.336631	0.097446	0.509236	0.559531	0.732420	0.002515	0.022004	0.169431	0.282909
r_0658	isocitrate dehydrogenase (NAD+)	isocitrate[m] + NAD[m] => 2-oxoglutarate[m] + carbon dioxide[m] + NADH[m]	0.000000	0.000000	1.589345	0.000000	1.704063	0.000000	7.854979	1.660753	0.051476	1.349555	1.911245	3.046047
r_0713	malate dehydrogenase	(S)-malate[m] + NAD[m] <=> H+[m] + NADH[m] + oxaloacetate[m]	12.556571	68.778839	115.106439	88.653316	57.186817	170.585487	308.770533	641.305384	1.330799	14.067225	197.005058	216.726255
r_0714	malate dehydrogenase, cytoplasmic	(S)-malate[c] + NAD[c] <=> H+[c] + NADH[c] + oxaloacetate[c]	4.731802	27.772905	30.605156	56.473553	-73.522512	-316.240664	-519.790082	-1082.842409	-2.174980	-21.929014	-292.958885	-343.697607
r_0718	malic enzyme (NAD)	(S)-malate[m] + NAD[m] => carbon dioxide[m] + NADH[m] + pyruvate[m]	0.276670	0.379682	0.616679	0.752767	0.474315	0.000000	3.818876	5.274912	0.007495	0.150280	1.106773	1.763917
r_0731	methylenetetrahydrofolate dehydrogenase (NAD)	5,10-methylenetetrahydrofolate[c] + NAD[c] => 5,10-methenyl-THF[c] + NADH[c]	0.000000	0.000000	0.000000	0.000000	13.168818	0.000000	121.344079	193.534654	0.000000	0.000000	0.000000	0.000000
r_0891	phosphoglycerate dehydrogenase	3-phosphonato-D-glycerate(3-)[c] + NAD[c] => 3-phospho-hydroxypyruvate[c] + H+[c] + NADH[c]	0.734378	2.422488	3.523826	4.025825	2.704663	6.803958	19.707491	13.089961	0.037872	0.550176	5.800229	9.144498
r_0961	pyruvate dehydrogenase	coenzyme A[m] + NAD[m] + pyruvate[m] => acetyl-CoA[m] + carbon dioxide[m] + NADH[m]	0.000000	0.000000	0.000000	0.000000	30.445164	84.843668	90.900849	117.244065	0.607006	5.494739	51.668915	51.516689
r_0988	saccharopine dehydrogenase (NAD, L-lysine forming)	H2O[c] + L-saccharopine[c] + NAD[c] => 2-oxoglutarate[c] + H+[c] + L-lysine[c] + NADH[c]	0.101379	0.776406	1.261037	1.539322	0.387286	2.691049	3.119247	5.974620	0.006120	0.122705	0.903692	1.440259
r_1092	xylitol dehydrogenase (D-xyulose-forming)	NAD[c] + xylitol[c] => D-xylulose[c] + H+[c] + NADH[c]	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.093340	10.186945	131.528404	161.721810
r_2183	stearoyl-CoA desaturase (n-C18:0CoA -> n-C18:1CoA), ER membrane	H+[erm] + stearoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + oleoyl-CoA[erm]	-0.046711	-0.262410	-0.343969	-0.308210	-0.143998	-0.896490	-0.734537	-0.902331	-0.005079	-0.037034	-0.234971	-0.318066
r_3532	NADH transport, cytoplasm-ER membrane	NADH[c] <=> NADH[erm]	-0.989719	-5.560038	-7.288134	-6.530467	-3.051071	-18.995153	-15.563622	-19.118907	-0.107614	-0.784683	-4.978655	-6.739304
r_3532	NADH transport, cytoplasm-ER membrane	NADH[c] <=> NADH[erm]	-0.989719	-5.560038	-7.288134	-6.530467	-3.051071	-18.995153	-15.563622	-19.118907	-0.107614	-0.784683	-4.978655	-6.739304
t_0001	NADH dehydrogenase (complex I)	5 H+[m] + NADH[m] + ubiquinone-6[m] => 4 H+[c] + NAD[m] + ubiquinol-6[m]	-13.891555	-112.155614	-197.547429	-120.960920	-90.925474	-257.043712	-414.456748	-769.035241	-2.048726	-22.371741	-252.228983	-273.908740
t_0077	linoleoyl-CoA desaturase (n-C18:2CoA - n-C18:3CoA), ER membrane	linoleoyl-CoA[erm] + H+[erm] + oxygen[erm] + NADH[erm] => linolenoyl-CoA[erm] + 2 H2O[erm] + NAD[erm]	-0.007710	-0.043312	-0.056774	-0.050872	-0.023768	-0.147971	-0.121240	-0.148935	-0.000838	-0.006113	-0.038783	-0.052499
y300009	oleoyl-CoA desaturase (n-C18:1CoA - n-C18:2CoA), ER membrane	H+[erm] + oxygen[erm] + NADH[erm] + oleoyl-CoA[erm] => linoleoyl-CoA[erm] + 2 H2O[erm] + NAD[erm]	-0.022901	-0.128655	-0.168642	-0.151111	-0.070600	-0.439535	-0.360132	-0.442398	-0.002490	-0.018157	-0.115203	-0.155943
