rxnID	reactionName	mean_A120	mean_A100	mean_A80	mean_A60	mean_G120	mean_G100	mean_G80	mean_G60	mean_X120	mean_X100	mean_X80	mean_X60	std_A120	std_A100	std_A80	std_A60	std_G120	std_G100	std_G80	std_G60	std_X120	std_X100	std_X80	std_X60
r_0001	(R)-lactate:ferricytochrome-c 2-oxidoreductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_0002	(R)-lactate:ferricytochrome-c 2-oxidoreductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_0003	(R,R)-butanediol dehydrogenase	-2.088105e-05	-1.619761e-04	-1.520910e-04	-1.816050e-04	-1.420133e-04	-2.647543e-02	-7.530817e-03	-9.196249e-03	-3.894079e-06	-4.168031e-05	-3.890192e-04	-6.500517e-04	3.827420e-04	2.478838e-03	2.995541e-03	3.136925e-03	2.184117e-03	1.180737e-01	3.931362e-02	8.834200e-02	4.722387e-05	4.812163e-04	6.084251e-03	9.361617e-03
r_0004	(S)-lactate:ferricytochrome-c 2-oxidoreductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_0005	1,3-beta-glucan synthase	3.051010e-03	3.712120e-02	4.824827e-02	7.894386e-02	1.764323e-02	3.847903e-02	8.149032e-02	3.811957e-02	2.909183e-04	1.135975e-03	1.995084e-02	5.020002e-02	3.815212e-05	4.641604e-04	5.769728e-04	9.705984e-04	2.071071e-04	4.821332e-04	9.662818e-04	4.699757e-04	3.491713e-06	1.368629e-05	2.535817e-04	6.244382e-04
r_0006	1,6-beta-glucan synthase	1.019105e-03	1.239931e-02	1.611600e-02	2.636901e-02	5.893233e-03	1.285285e-02	2.721958e-02	1.273279e-02	9.717319e-05	3.794410e-04	6.664025e-03	1.676793e-02	1.274366e-05	1.550399e-04	1.927218e-04	3.242015e-04	6.917838e-05	1.610432e-04	3.227596e-04	1.569824e-04	1.166310e-06	4.571526e-06	8.470193e-05	2.085763e-04
r_0007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	3.646869e-04	2.577910e-03	4.186947e-03	4.873342e-03	1.286380e-03	8.955387e-03	1.034595e-02	2.159900e-02	2.030107e-05	4.060697e-04	2.992693e-03	4.873208e-03	4.821028e-05	3.367879e-04	5.445438e-04	6.651658e-04	1.750242e-04	1.256012e-03	1.272862e-03	2.426419e-02	2.742943e-06	4.371417e-05	3.292222e-04	1.605200e-03
r_0012	1-pyrroline-5-carboxylate dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_0013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	1.397437e-05	6.397732e-05	1.746560e-04	2.107048e-04	3.716434e-05	4.007935e-04	4.115705e-04	2.886239e-03	1.093735e-06	1.628275e-05	9.530000e-05	5.065617e-04	1.476109e-04	8.326690e-04	1.717874e-03	2.039910e-03	4.500071e-04	3.843443e-03	4.129145e-03	2.991903e-02	1.017757e-05	1.597506e-04	1.024791e-03	4.853408e-03
r_0014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	8.715745e-06	6.004206e-05	8.325992e-05	9.847271e-05	3.000838e-05	1.568856e-04	1.723181e-04	2.256183e-04	7.745208e-07	6.777194e-06	5.220381e-05	8.715406e-05	1.089882e-07	7.507610e-07	9.956566e-07	1.210701e-06	3.522567e-07	1.965739e-06	2.043284e-06	2.781646e-06	9.296095e-09	8.165202e-08	6.635274e-07	1.084109e-06
r_0015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	8.715745e-06	6.004206e-05	8.325992e-05	9.847271e-05	3.000838e-05	1.568856e-04	1.723181e-04	2.256183e-04	7.745208e-07	6.777194e-06	5.220381e-05	8.715406e-05	1.089882e-07	7.507610e-07	9.956566e-07	1.210701e-06	3.522567e-07	1.965739e-06	2.043284e-06	2.781646e-06	9.296095e-09	8.165202e-08	6.635274e-07	1.084109e-06
r_0016	2-aceto-2-hydroxybutanoate synthase	1.109975e-03	7.871901e-03	1.250854e-02	1.453935e-02	4.042675e-03	3.260247e-02	3.688859e-02	7.153137e-02	6.835305e-05	1.266750e-03	1.001916e-02	1.568278e-02	5.446218e-04	3.556877e-03	4.433824e-03	4.523415e-03	3.078289e-03	4.836875e-02	4.834286e-02	9.941168e-02	7.192334e-05	6.771810e-04	1.016846e-02	1.389623e-02
r_0017	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_0018	2-aminoadipate transaminase	1.561257e-03	1.101698e-02	1.789377e-02	2.080979e-02	5.495621e-03	3.824290e-02	4.433393e-02	8.850523e-02	8.690815e-05	1.743758e-03	1.283404e-02	2.053828e-02	6.495997e-05	2.950086e-04	5.165550e-04	6.930353e-04	1.767005e-04	1.484617e-03	1.820477e-03	4.541347e-02	3.212259e-06	6.710713e-05	4.038106e-04	1.831242e-03
r_0019	2-dehydropantoate 2-reductase	2.086469e-05	1.025271e-04	2.290898e-04	2.919746e-04	5.498079e-05	5.747385e-04	6.065059e-04	3.099327e-03	1.604800e-06	2.098397e-05	1.659426e-04	6.422628e-04	1.877605e-04	1.100926e-03	2.061599e-03	2.488191e-03	5.691056e-04	4.685412e-03	5.154404e-03	4.345751e-02	1.305893e-05	1.920657e-04	1.468857e-03	5.857173e-03
r_0020	2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_0021	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
