reaction	Acetate	Glycerol	Xylose
(R)-lactate:ferricytochrome-c 2-oxidoreductase	0	0	0
(R)-lactate:ferricytochrome-c 2-oxidoreductase	0	0	0
(R,R)-butanediol dehydrogenase	0	0	0
(S)-lactate:ferricytochrome-c 2-oxidoreductase	0	0	0
1,3-beta-glucan synthase	0	0	0
1,6-beta-glucan synthase	0	0	0
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	0	0	0
1-pyrroline-5-carboxylate dehydrogenase	0	0	0
2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	0	0	0
2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	0	0	0
2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	0	0	0
2-aceto-2-hydroxybutanoate synthase	0	0	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	0	0	0
2-aminoadipate transaminase	0	0	0
2-dehydropantoate 2-reductase	0	0	0
2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0	0	0
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	0	0	0
2-hexaprenyl-6-methoxyphenol monooxygenase	0	0	0
2-isopropylmalate hydratase	0	0	0
2-isopropylmalate synthase	0	0	0
2-isopropylmalate synthase	0	0	0
2-keto-4-methylthiobutyrate transamination	0	0	0
2-methylcitrate dehydratase	0	0	0
2-methylcitrate synthase	0	0	0
2-oxo-4-methyl-3-carboxypentanoate decarboxylation	0	0	0
2-oxo-4-methyl-3-carboxypentanoate decarboxylation	0	0	0
3',5'-bisphosphate nucleotidase	0	0	0
3',5'-cyclic-nucleotide phosphodiesterase	0	0	0
3',5'-cyclic-nucleotide phosphodiesterase	0	0	0
3',5'-cyclic-nucleotide phosphodiesterase	0	0	0
3',5'-cyclic-nucleotide phosphodiesterase	0	0	0
3',5'-cyclic-nucleotide phosphodiesterase	0	0	0
3,4-dihydroxy-2-butanone-4-phosphate synthase	0	0	0
3-dehydroquinate dehydratase	0	0	0
3-dehydroquinate synthase	0	0	0
3-dehydrosphinganine reductase	0	0	0
3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0	0	0
3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase	0	0	0
3-hydroxy-L-kynurenine hydrolase	0	0	0
3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	0	0	0
3-hydroxyanthranilate 3,4-dioxygenase	0	0	0
3-isopropylmalate 3-methyltransferase	0	0	0
3-isopropylmalate dehydratase	0	0	0
3-isopropylmalate dehydrogenase	0	0	0
3-methyl-2-oxobutanoate decarboxylase	0	0	0
3-methyl-2-oxobutanoate hydroxymethyltransferase	0	0	0
3-methyl-2-oxopentanoate decarboxylase	0	0	0
3-phosphoshikimate 1-carboxyvinyltransferase	0	0	0
4-amino-4-deoxychorismate synthase	0	0	0
4-aminobenzoate synthase	0	0	0
4-aminobutyrate transaminase	0	0	0
4-hydroxy-L-threonine synthase	0	0	0
4-methyl-2-oxopentanoate decarboxylase	0	0	0
4PP-IP5 depyrophosphorylation to IP6	0	0	0
5'-methylthioadenosine phosphorylase	0	0	0
5'-nucleotidase (CMP)	0	0	0
5'-nucleotidase (UMP)	0	0	0
5'-phosphoribosylformyl glycinamidine synthetase	0	0	0
