reaction	A120	A100	A80	A60	G120	G100	G80	G60	X120	X100	X80	X60
(R)-lactate:ferricytochrome-c 2-oxidoreductase	0	0	0	0	0	0	0	0	0	0	0	0
(R)-lactate:ferricytochrome-c 2-oxidoreductase	0	0	0	0	0	0	0	0	0	0	0	0
(R,R)-butanediol dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0
(S)-lactate:ferricytochrome-c 2-oxidoreductase	0	0	0	0	0	0	0	0	0	0	0	0
1,3-beta-glucan synthase	3.041035e-03	3.699968e-02	4.810432e-02	8.821596e-02	1.759289e-02	3.835271e-02	8.125217e-02	3.799875e-02	2.900466e-04	1.132548e-03	1.988326e-02	5.003785e-02
1,6-beta-glucan synthase	1.015773e-03	1.235872e-02	1.606791e-02	2.946609e-02	5.876417e-03	1.281066e-02	2.714003e-02	1.269243e-02	9.688201e-05	3.782964e-04	6.641452e-03	1.671376e-02
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	3.594670e-04	2.541390e-03	4.127720e-03	5.348319e-03	1.267692e-03	8.808540e-03	1.021015e-02	1.955657e-02	2.003174e-05	4.016470e-04	2.958031e-03	4.714360e-03
1-pyrroline-5-carboxylate dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0
2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	0	0	0	0	0	0	0	0	0	0	0	0
2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	8.687250e-06	5.984550e-05	8.301150e-05	1.100385e-04	2.992275e-05	1.563705e-04	1.718145e-04	2.249032e-04	7.722000e-07	6.756750e-06	5.202697e-05	8.687250e-05
2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	8.687250e-06	5.984550e-05	8.301150e-05	1.100385e-04	2.992275e-05	1.563705e-04	1.718145e-04	2.249032e-04	7.722000e-07	6.756750e-06	5.202697e-05	8.687250e-05
2-aceto-2-hydroxybutanoate synthase	1.044574e-03	7.385015e-03	1.199473e-02	1.554166e-02	3.683782e-03	2.559671e-02	2.966964e-02	5.682936e-02	5.821016e-05	1.167145e-03	8.595734e-03	1.369944e-02
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	0	0	0	0	0	0	0	0	0	0	0	0
2-aminoadipate transaminase	1.551787e-03	1.097096e-02	1.781901e-02	2.308822e-02	5.472515e-03	3.802570e-02	4.407632e-02	8.442398e-02	8.647526e-05	1.733875e-03	1.276956e-02	2.035148e-02
2-dehydropantoate 2-reductase	0	0	0	0	0	0	0	0	0	0	0	0
2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	1.433153e-03	1.013223e-02	1.645674e-02	2.132313e-02	5.054141e-03	3.511863e-02	4.070669e-02	7.796977e-02	7.986423e-05	1.601320e-03	1.179333e-02	1.879561e-02
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	0	0	0	0	0	0	0	0	0	0	0	0
2-hexaprenyl-6-methoxyphenol monooxygenase	0	0	0	0	0	0	0	0	0	0	0	0
2-isopropylmalate hydratase	-1.606910e-03	-1.136066e-02	-1.845197e-02	-2.390836e-02	-5.666908e-03	-3.937644e-02	-4.564199e-02	-8.742287e-02	-8.954702e-05	-1.795465e-03	-1.322316e-02	-2.107440e-02
2-isopropylmalate synthase	0	0	0	0	0	0	0	0	0	0	0	0
2-isopropylmalate synthase	1.606910e-03	1.136066e-02	1.845197e-02	2.390836e-02	5.666908e-03	3.937644e-02	4.564199e-02	8.742287e-02	8.954702e-05	1.795465e-03	1.322316e-02	2.107440e-02
2-keto-4-methylthiobutyrate transamination	0	0	0	0	0	0	0	0	0	0	0	0
2-methylcitrate dehydratase	1.551787e-03	1.097096e-02	1.781901e-02	2.308822e-02	5.472515e-03	3.802570e-02	4.407632e-02	8.442398e-02	8.647526e-05	1.733875e-03	1.276956e-02	2.035148e-02
2-methylcitrate synthase	0	0	0	0	0	0	0	0	0	0	0	0
