rxnID	rxnName	rxnEqn	A120	A100	A80	A60	G120	G100	G80	G60	X120	X100	X80	X60
r_0015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine[c] + H+[c] + NADPH[c] => 2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + NADP(+)[c]	-0.000567	-0.003903	-0.005412	-0.006401	-0.001951	-0.010198	-0.011201	-0.014665	-0.000050	-0.000441	-0.003393	-0.005665
r_0019	2-dehydropantoate 2-reductase	2-dehydropantoate[c] + H+[c] + NADPH[c] => (R)-pantoate[c] + NADP(+)[c]	-0.001356	-0.006664	-0.014891	-0.018978	-0.003574	-0.037358	-0.039423	-0.201456	-0.000104	-0.001364	-0.010786	-0.041747
r_0080	5,10-methylenetetrahydrofolate reductase (NADPH)	5,10-methylenetetrahydrofolate[c] + 2 H+[c] + NADPH[c] => 5-methyltetrahydrofolate[c] + NADP(+)[c]	-0.109835	-0.611573	-0.885560	-0.860888	-0.333410	-2.118889	-2.012911	-4.128654	-0.009716	-0.091538	-0.614389	-1.185578
r_0096	acetohydroxy acid isomeroreductase	2-acetyllactic acid[m] + H+[m] + NADPH[m] => (R)-2,3-dihydroxy-3-methylbutanoate[m] + NADP(+)[m]	-0.048823	-0.340798	-0.552309	-0.634092	-0.176599	-1.722333	-1.689812	-3.409887	-0.003114	-0.056692	-0.473255	-0.717840
r_0168	aldehyde dehydrogenase (2-methylbutanol, NADP)	2-methylbutanal[c] + H+[c] + NADPH[c] => 2-methylbutanol[c] + NADP(+)[c]	-0.000316	-0.001739	-0.002722	0.000000	-0.001269	-0.022344	-0.032431	-0.063531	-0.000031	-0.000226	-0.003313	-0.004841
r_0173	aldehyde dehydrogenase (acetaldehyde, NADP)	acetaldehyde[c] + H2O[c] + NADP(+)[c] => acetate[c] + 2 H+[c] + NADPH[c]	0.006218	0.026542	0.023333	0.026847	0.811647	4.313202	7.725048	2.951607	0.051963	0.303329	2.238706	3.257507
r_0175	aldehyde dehydrogenase (acetylaldehyde, NADP)	acetaldehyde[m] + H2O[m] + NADP(+)[m] => acetate[m] + 2 H+[m] + NADPH[m]	0.000230	0.001971	0.003815	0.002122	0.000775	0.003521	0.008031	0.009723	0.000026	0.000534	0.004399	0.004559
r_0181	aldehyde dehydrogenase (isoamyl alcohol, NADP)	3-methylbutanal[c] + H+[c] + NADPH[c] => isoamylol[c] + NADP(+)[c]	-0.000139	0.000000	-0.000403	-0.001042	-0.002033	-0.029638	-0.072595	-0.061739	-0.000030	-0.000121	-0.005910	-0.004751
r_0184	aldehyde dehydrogenase (isobutyl alcohol, NADP)	H+[c] + isobutyraldehyde[c] + NADPH[c] => isobutanol[c] + NADP(+)[c]	-0.000395	-0.002771	-0.003874	-0.001269	-0.002404	-0.139915	-0.119619	-0.205361	-0.000043	-0.000405	-0.004102	-0.008254
r_0219	aspartate-semialdehyde dehydrogenase	4-phospho-L-aspartate[c] + H+[c] + NADPH[c] => L-aspartate 4-semialdehyde[c] + NADP(+)[c] + phosphate[c]	-0.168871	-1.172846	-1.883678	-2.153242	-0.775816	-5.485962	-5.332430	-10.303735	-0.011082	-0.193536	-1.537813	-2.410035
r_0231	C-14 sterol reductase	4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol[c] + H+[c] + NADPH[c] => 14-demethyllanosterol[c] + NADP(+)[c]	-0.043227	-0.223291	-0.293281	-0.248174	-0.123790	-0.761773	-0.629994	-0.782174	-0.004339	-0.031791	-0.209838	-0.286385
r_0233	C-22 sterol desaturase (NADP)	ergosta-5,7,24(28)-trien-3beta-ol[c] + H+[c] + NADPH[c] + oxygen[c] => ergosta-5,7,22,24(28)-tetraen-3beta-ol[c] + 2 H2O[c] + NADP(+)[c]	-0.042745	-0.220689	-0.288677	-0.245597	-0.121324	-0.752404	-0.616859	-0.759701	-0.004264	-0.031158	-0.199879	-0.272326
r_0234	C-3 sterol dehydrogenase	NADP(+)[c] + zymosterol intermediate 1c[c] => carbon dioxide[c] + H+[c] + NADPH[c] + zymosterol intermediate 2[c]	0.043132	0.222485	0.292410	0.247507	0.123292	0.759670	0.627855	0.777216	0.004331	0.031632	0.208046	0.282980
r_0236	C-3 sterol keto reductase (4-methylzymosterol)	3-dehydro-4-methylzymosterol[c] + H+[c] + NADPH[c] => 4alpha-methylzymosterol[c] + NADP(+)[c]	-0.043132	-0.222485	-0.292410	-0.247507	-0.123292	-0.759670	-0.627855	-0.777216	-0.004331	-0.031632	-0.208046	-0.282980
r_0237	C-3 sterol keto reductase (zymosterol)	H+[c] + NADPH[c] + zymosterol intermediate 2[c] => NADP(+)[c] + zymosterol[c]	-0.043132	-0.222485	-0.292410	-0.247507	-0.123292	-0.759670	-0.627855	-0.777216	-0.004331	-0.031632	-0.208046	-0.282980
r_0238	C-4 methyl sterol oxidase	4alpha-methylzymosterol[c] + H+[c] + NADPH[c] + oxygen[c] => H2O[c] + NADP(+)[c] + zymosterol intermediate 1a[c]	-0.043132	-0.222485	-0.292410	-0.247507	-0.123292	-0.759670	-0.627855	-0.777216	-0.004331	-0.031632	-0.208046	-0.282980
